puzzle,score,answer
557,4,IMPEL
558,4,HAVOC
559,4,MOLAR
560,3,CHIME
562,3,SKIRT
564,6,LAYER
565,3,SLEEK
566,5,BELIE
567,5,LEMON
568,4,OPERA
569,5,PIXIE
570,4,GRIMY
571,3,SEDAN
572,4,LEAPT
573,4,HUMAN
574,3,KOALA
575,3,SPIRE
576,5,FROCK
577,3,ADOPT
578,5,CHARD
579,6,MUCKY
580,3,ALTER
581,4,BLURB
582,4,MATEY
583,4,ELUDE
584,6,COUNT
585,5,MAIZE
586,5,BEEFY
587,4,WORRY
588,3,FLIRT
590,6,CRAVE
591,5,CROSS
592,4,SCOLD
593,4,SHIRK
594,6,TASTY
595,3,UNLIT
596,4,DANCE
597,5,NINTH
598,3,APPLE
599,5,FLAIL
600,2,STAGE
601,4,HEADY
602,3,DEBUG
603,4,GIANT
604,3,USAGE
605,3,SOUND
606,4,SALSA
607,5,MAGIC
608,3,CACHE
610,3,KIOSK
611,2,SWEAT
612,3,RUDDY
613,5,RIPER
614,4,VAGUE
615,4,ARBOR
616,6,FIFTY
617,3,SYRUP
618,4,WORSE
619,5,POLKA
620,6,MOOSE
622,5,SQUAT
623,5,TREND
624,4,TOXIC
625,4,PINKY
626,4,HORSE
627,6,REGAL
628,3,WHERE
629,6,REVEL
630,4,EMAIL
631,5,BIRTH
632,6,BLAME
633,4,SURLY
634,6,SWEEP
635,5,CIDER
636,4,MEALY
637,4,YACHT
638,4,CREDO
639,3,GLOVE
640,3,TOUGH
641,5,DUVET
642,6,STAID
643,4,GROUT
644,3,VOTER
645,3,UNTIE
646,4,GUANO
647,4,HURRY
648,4,BESET
649,4,BREAD
650,5,EVERY
651,5,MARCH
652,4,STOCK
653,4,FLORA
654,3,RATIO
655,5,SMASH
656,3,LEAFY
657,4,LOCUS
658,5,LEDGE
659,3,SNAFU
660,5,UNDER
661,4,QUALM
662,4,BORAX
663,5,CARAT
664,4,THIEF
665,4,AGONY
666,4,DWELT
667,5,WHIFF
668,2,HOUND
669,3,THUMP
670,2,PLATE
672,5,BROKE
673,4,UNZIP
674,3,DITTO
675,7,JOKER
676,3,METRO
677,4,LOGIC
678,5,CIRCA
679,4,CEDAR
680,5,PLAZA
681,3,RANGE
682,5,SULKY
683,3,HORDE
684,5,GUPPY
685,5,BELOW
686,5,ANGER
687,3,GHOUL
688,4,AGLOW
689,4,COCOA
690,2,ETHIC
692,4,SNACK
693,4,ACRID
694,2,SCARF
695,3,CANOE
696,4,LATTE
697,2,PLANK
698,3,SHORN
699,4,GRIEF
700,4,FLASK
701,3,BRASH
702,5,IGLOO
703,6,CLERK
704,3,UTTER
705,4,BAGEL
706,4,SWINE
707,3,RAMEN
708,4,SKIMP
709,4,MOUSE
710,4,KNEEL
711,3,AGILE
712,6,JAZZY
713,3,HUMID
714,6,NANNY
715,3,BEAST
716,5,ENNUI
717,5,SCOUT
718,6,HATER
719,3,CRUMB
720,3,BALSA
721,4,AGAIN
722,5,GUARD
723,4,WRONG
724,5,PLUNK
725,4,CRIME
726,4,MAYBE
727,2,STRAP
728,4,RANCH
729,5,SHYLY
730,6,KAZOO
731,4,FROST
732,3,CRANE
733,2,TASTE
734,5,COVET
735,5,GRAND
736,4,RODEO
737,5,GUEST
738,3,ABOUT
739,4,TRACT
740,6,DINER
741,3,STRAW
742,5,BLEEP
743,3,MOSSY
744,3,HOTEL
745,5,IRATE
746,5,VENOM
747,4,WINDY
748,3,DONUT
749,7,COWER
750,3,ENTER
751,4,FOLLY
752,3,EARTH
753,4,WHIRL
754,6,BARGE
755,4,FIEND
756,4,CRONE
757,3,TOPAZ
758,4,DROOP
759,5,FLYER
760,3,TONIC
761,5,FLANK
762,3,BURLY
763,6,FROZE
764,3,WHALE
765,5,HOBBY
766,5,WHEEL
767,2,HEART
768,3,DISCO
769,2,ETHOS
770,5,CURLY
771,4,BATHE
772,2,STYLE
773,3,TENTH
774,5,BEGET
775,3,PARTY
776,4,CHART
777,3,ANODE
778,5,POLYP
779,5,BROOK
780,5,BULLY
781,7,LOVER
782,4,EMPTY
783,3,HELLO
784,6,QUICK
785,3,WRATH
786,3,SNAKY
787,4,INDEX
788,4,SCRUB
789,5,AMISS
790,3,EXACT
791,3,HORNY
792,3,MASON
793,4,DOING
794,4,OZONE
795,5,AMPLY
796,3,MOLAR
797,5,OVARY
798,4,BESET
799,5,QUEUE
800,4,CLIFF
801,4,MAGIC
802,3,TRUCE
803,3,SPORT
804,5,FRITZ
805,5,EDICT
806,5,TWIRL
807,3,VERSE
808,4,BIRCH
809,7,GNASH
810,5,DWELL
811,3,ROUSE
812,4,LUCKY
813,4,QUOTE
814,4,OLDER
815,3,WHISK
816,3,CLEAR
817,3,RAYON
818,4,EXERT
819,4,ANGEL
820,4,MUSIC
821,4,FRANK
822,2,CLOSE
823,3,SNARE
824,3,STONE
825,4,BRUSH
826,4,CAROL
827,5,RIGHT
828,4,ROCKY
829,4,LOYAL
830,5,SMILE
831,4,COACH
832,3,AZURE
833,5,DADDY
834,4,BERET
835,3,MERRY
836,4,WHILE
837,4,SPURT
838,4,BUNCH
839,3,CHIME
840,6,VIOLA
841,3,BINGE
842,3,TRUTH
843,5,SMALL
844,4,SKUNK
845,6,KNELT
846,3,UNCLE
847,4,AGENT
848,3,LEAKY
849,5,GRAPH
850,4,ADULT
851,4,MERCY
852,4,SPLAT
853,6,OCCUR
854,4,SMIRK
855,4,GIVEN
856,3,TEMPO
857,3,CAUSE
858,4,RETRY
859,4,PIQUE
860,3,NOBLE
861,3,MASON
